name,url,logo,categories,creation date,region
Chatbot Plus,http://chatbot-plus.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Chatbot-Plus_squared.png,Chatbots & Assistants,2017,Brussels
CitizenLab,http://citizenlab.co/,https://community.ai4belgium.be/ai-landscape//landscape_logos/CitizenLab_squared.png,"Social (Education, Civic Tech, Entertainment, etc)",2015,Flanders
Clever,http://clever.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Clever_squared.png,Chatbots & Assistants,2016,Flanders
CluePoints,http://cluepoints.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/CluePoints_squared.png,Healthcare & biotech,2012,Wallonia
Complidata,http://complidata.io/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Complidata_squared.png,Legal & FinTech,2018,Flanders
Contract.fit,http://contract.fit/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Contract_squared.png,Legal & FinTech,2016,Flanders
Conundra,http://www.conundra.eu/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Conundra_squared.png,"Automotive, mobility & travel",2013,Flanders
CooperLink,http://www.cooperlink.io/,https://community.ai4belgium.be/ai-landscape//landscape_logos/cooperlink_logo_simple-300x79-1_squared.png,Services,2017,Wallonia
Cropland,http://www.cropland.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Cropland_squared.png,Sales & Marketing,2013,Flanders
Cytomine,http://www.cytomine.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Cytomine_squared.png,"Social (Education, Civic Tech, Entertainment, etc)",2017,Wallonia
Dalberg Data Insights,http://www.dalberg.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Dalberg-Data-Insights_squared.png,"Social (Education, Civic Tech, Entertainment, etc)",,Brussels
Dataa,http://www.dataa.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Dataa_squared.png,Services,,Brussels
Datacamp,http://www.datamind.org/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Datacamp_squared.png,"Social (Education, Civic Tech, Entertainment, etc)",2013,Flanders
Dataroots,http://dataroots.io/,https://community.ai4belgium.be/ai-landscape//landscape_logos/download_squared.png,Services,,Flanders
Datascouts,https://datascouts.eu/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Datascouts_squared.png,"RPA, Internal Data & Intelligence",2011,Flanders
Datastories,http://datastories.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/datastories-1_squared.png,Services,,Flanders
Deeper Analytics,http://deeperanalytics.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/deeperB-1_squared.png,Services,,Wallonia
DeJuristen,https://dejuristen.be/?lang=fr,https://community.ai4belgium.be/ai-landscape//landscape_logos/DeJuristen_squared.png,Legal & FinTech,2012,Flanders
Dfakto,http://www.dfakto.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/defakto-logo-website_squared.png,Services,,Brussels
Diabatix,http://diabatix.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Diabatix_squared.png,Industrial,2016,Flanders
Digital Orthopaedics,http://www.digital-orthopaedics.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Digital-Orthopaedics_squared.png,Healthcare & biotech,2016,Wallonia
DNAlytics,http://dnalytics.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/DNAlytics_squared.png,Healthcare & biotech,2012,Wallonia
Doccle,http://doccle.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Doccle_squared.png,"RPA, Internal Data & Intelligence",2012,Brussels
Dropon,http://dropon.io/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Dropon_squared.png,"Automotive, mobility & travel",2018,Flanders
Edebex,http://edebex.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Edebex_squared.png,Legal & FinTech,2013,Brussels
EisphorIA,http://www.eisphoria.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/EisphorIA_squared.png,Legal & FinTech,2019,Brussels
Enervalis,http://www.enervalis.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Enervalis_squared.png,"Agritech, Cleantech & energy",2013,Flanders
Engine27,http://www.engine27.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Engine27_squared.png,"Security, Cyber-Security",2016,Flanders
EngineerX,http://www.engineerx.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/EngineerX_squared.png,HR & Skills,2011,Flanders
Enigmoo,https://www.facebook.com/enigmoobot/,https://community.ai4belgium.be/ai-landscape//landscape_logos/enigmoo_squared.png,Chatbots & Assistants,2017,Brussels
Enpy,http://www.enpy.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Enpy_squared.png,Healthcare & biotech,2019,Brussels
Epcon,http://www.epcon.ai/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Epcon_squared.png,Healthcare & biotech,2018,Flanders
epic blue,http://www.epic.blue/,https://community.ai4belgium.be/ai-landscape//landscape_logos/epic-blue_squared.png,Industrial,2016,Flanders
Epilog,http://www.epilog.care/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Epilog_squared.png,Healthcare & biotech,2016,Flanders
eRowz,http://www.site-annonce.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/eRowz_squared.png,Sales & Marketing,2011,Wallonia
Ethernetics,http://ethernetics.tech/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Ethernetics_squared.png,"Agritech, Cleantech & energy",2018,Flanders
EuraNova,http://euranova.eu/,https://community.ai4belgium.be/ai-landscape//landscape_logos/LOGO_TRANSPARENT_RGB_squared.png,Services,,Wallonia
EyeSee,http://www.eyesee.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/EyeSee_squared.png,Image & video processing,2012,Flanders
Factry,http://www.factry.io/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Factry_squared.png,Industrial,2016,Brussels
Family-Eye,http://www.familyeye.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Family-Eye_squared.png,Image & video processing,2013,Flanders
FaqBot,http://www.faqbot.co/,https://community.ai4belgium.be/ai-landscape//landscape_logos/FaqBot_squared.png,Chatbots & Assistants,2017,Wallonia
Features Analytics,http://www.features-analytics.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Features-Analytics_squared.png,Legal & FinTech,2014,Wallonia
Fielddrive,http://www.fielddrive.eu/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Fielddrive_squared.png,Image & video processing,2015,Flanders
Flexible Robotic Solutions,http://www.frsrobotics.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Flexible-Robotic-Solutions_squared.png,Industrial,2013,Flanders
Foresightee,http://www.foresightee.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Foresightee_squared.png,"Agritech, Cleantech & energy",2019,Flanders
Fourcast,https://gcloud.devoteam.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/fourcast_squared.png,Services,,Brussels
Freemind,http://www.freemind-group.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/logo-temp_squared.png,Services,2011,Brussels
Froomle,http://www.froomle.ai/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Froomle_squared.png,Sales & Marketing,2016,Flanders
GMind analytics,http://www.gmind.net/,https://community.ai4belgium.be/ai-landscape//landscape_logos/gmind_squared.png,Services,,Wallonia
Hirering,http://www.hirering.eu/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Hirering_squared.png,HR & Skills,2018,Wallonia
Hive CPQ,http://www.hivecpq.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Hive-CPQ_squared.png,Sales & Marketing,2017,Flanders
Humainly,http://webmonks.vision/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Humainly_squared.png,Image & video processing,2017,Flanders
Hyler,http://www.hyler.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Hyler_squared.png,"Agritech, Cleantech & energy",2016,Flanders
icoMetrix,http://www.icometrix.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/icoMetrix_squared.png,Healthcare & biotech,2011,Flanders
i-farming,http://i-farming.net/,https://community.ai4belgium.be/ai-landscape//landscape_logos/i-farming_squared.png,"Agritech, Cleantech & energy",2018,Flanders
In The Pocket,http://inthepocket.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/inthepocket-1_squared.png,Services,,Flanders
Infinity Mobile,http://infinity-mobile.io/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Infinity-Mobile_squared.png,Legal & FinTech,2015,Flanders
Infofarm,https://infofarm.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Infofarm_squared.png,"RPA, Internal Data & Intelligence",,Flanders
Invenira,http://www.invenira.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/LogoHeader_squared.png,Services,2018,Flanders
InvestSuite,http://www.investsuite.eu/,https://community.ai4belgium.be/ai-landscape//landscape_logos/InvestSuite_squared.png,Legal & FinTech,2018,Flanders
Iqunet,http://iqunet.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Iqunet_squared.png,Industrial,2015,Flanders
Ivex,http://www.ivex.ai/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Ivex_squared.png,"Automotive, mobility & travel",2017,Flanders
Jeasy,http://jeasy.ai/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Jeasy_squared.png,"Automotive, mobility & travel",2017,Brussels
JetPack,http://jetpack.ai/,https://community.ai4belgium.be/ai-landscape//landscape_logos/JetPack_squared.png,"RPA, Internal Data & Intelligence",,Brussels
JiGSO,http://jigso.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/JiGSO_squared.png,HR & Skills,2018,Flanders
Juyo Analytics,http://juyoanalytics.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Juyo-Analytics_squared.png,Sales & Marketing,,Brussels
Kantify,http://kantify.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/logo-6_squared.png,Services,2016,Brussels
Kaspard,http://kaspard.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Kaspard_squared.png,Image & video processing,2017,Brussels
Kensu,http://www.kensu.io/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Kensu_squared.png,"RPA, Internal Data & Intelligence",2015,Wallonia
Kerberos,http://kerberos.io/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Kerberos_squared.png,"Security, Cyber-Security",2014,Flanders
Keyrock,http://keyrock.eu/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Keyrock_squared.png,Legal & FinTech,2017,Brussels
Klarrio,https://klarrio.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/klarrio_squared.png,Services,,Flanders
Koopol,http://koopol.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Koopol_squared.png,Sales & Marketing,2017,Wallonia
Lantana,http://www.lantana.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/logo-naast_squared.png,Services,,Brussels
Lex.be,http://lex.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Lex_squared.png,Legal & FinTech,2015,Brussels
LiNGUiNEO,http://www.linguineo.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/LiNGUiNEO_squared.png,Chatbots & Assistants,2016,Flanders
Lizi,http://lizi.works/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Lizi_squared.png,HR & Skills,2017,Flanders
Look,http://www.look-app.net/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Look_squared.png,"Social (Education, Civic Tech, Entertainment, etc)",2016,Wallonia
Lynxcare,http://lynxcare.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Lynxcare_squared.png,Healthcare & biotech,2015,Flanders
Mabo E&A,http://www.agv-automation.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Mabo-EngineeringAutomation_squared.png,"Automotive, mobility & travel",2011,Flanders
Macty,http://macty.eu/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Macty_squared.png,Image & video processing,2015,Flanders
Magics Instruments,http://www.magics.tech/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Magics-Instruments_squared.png,Industrial,2015,Flanders
Mauhn,http://mauhn.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Mauhn_squared.png,"Security, Cyber-Security",2019,Flanders
Medical Robots,http://www.medical-robots.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Medical-Robots_squared.png,Healthcare & biotech,2016,Flanders
Memovie,http://www.memovie.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Memovie_squared.png,Sales & Marketing,2013,Wallonia
Metachat,http://metachat.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Metachat_squared.png,Chatbots & Assistants,2017,Flanders
Metamaze,https://metamaze.eu/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Metamaze_squared.png,"RPA, Internal Data & Intelligence",2011,Flanders
MH Automation,http://www.armin-robot.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/MH-Automation.jpeg,Industrial,2013,Wallonia
mindspeller,http://www.mindspeller.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/mindspeller_squared.png,Sales & Marketing,2015,Flanders
Mintt,https://mintt.care/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Mintt_squared.png,Image & video processing,2014,Wallonia
ML2Grow,http://www.ml2grow.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/ML2Grow_squared.png,Sales & Marketing,2017,Flanders
ML6,http://ml6.eu/,https://community.ai4belgium.be/ai-landscape//landscape_logos/ml6_squared.png,Services,,Flanders
Molecubes,http://molecubes.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Molecubes_squared.png,Healthcare & biotech,2015,Flanders
MoodMe,http://www.moodme.biz/,https://community.ai4belgium.be/ai-landscape//landscape_logos/MoodMe_squared.png,Sales & Marketing,2014,Wallonia
Motulus,https://motulus.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Motulus_squared.png,"Automotive, mobility & travel",2015,Flanders
Movetex,http://movetex.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Movetex_squared.png,"Automotive, mobility & travel",2014,Flanders
Musimap,http://www.musimap.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Musimap_squared.png,"Social (Education, Civic Tech, Entertainment, etc)",2015,Wallonia
Mynutia,http://www.mynutia.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Mynutia_squared.png,Healthcare & biotech,2017,Flanders
nebula4,http://,https://community.ai4belgium.be/ai-landscape//landscape_logos/nebula4_squared.png,"Social (Education, Civic Tech, Entertainment, etc)",2018,Flanders
NGData,http://www.lilyproject.org/,https://community.ai4belgium.be/ai-landscape//landscape_logos/NGData_squared.png,Legal & FinTech,2012,Flanders
Nischala Tech.,https://www.nischalatech.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Nischala-Technologies_squared.png,Healthcare & biotech,2018,Flanders
N-side,http://www.n-side.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/logo-n-side_squared.png,Services,,Flanders
Nviso,http://www.nviso.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Nviso_squared.png,"Security, Cyber-Security",2013,Brussels
Odase,http://www.odaseontologies.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/odaseontologies_squared.png,Services,2015,Brussels
Omina Tech.,http://www.omina.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/OminaLogo_new-baseline_white_squared.png,Services,2016,Flanders
OncoDNA,http://www.oncoshare.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/OncoDNA_squared.png,Healthcare & biotech,2012,Wallonia
Oncoradiomics,http://www.oncoradiomics.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Oncoradiomics_squared.png,Healthcare & biotech,2016,Wallonia
Ontoforce,http://www.ontoforce.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Ontoforce_squared.png,Healthcare & biotech,2011,Flanders
Open Analytics,http://www.openanalytics.eu/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Open-Analytics_squared.png,"RPA, Internal Data & Intelligence",2013,Flanders
OPSORO,http://www.opsoro.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/OPSORO_squared.png,"Social (Education, Civic Tech, Entertainment, etc)",2017,Flanders
OTIV,http://www.otiv.ai/,https://community.ai4belgium.be/ai-landscape//landscape_logos/OTIV_squared.png,"Automotive, mobility & travel",2020,Flanders
Otrema,http://www.otrema.eu/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Otrema_squared.png,"Agritech, Cleantech & energy",2015,Brussels
Pharmabot,https://pharmacistbot.herokuapp.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Pharmabot_squared.png,Chatbots & Assistants,2017,Brussels
Phished,http://phished.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Phished_squared.png,"Security, Cyber-Security",2019,Flanders
Pick-it,http://www.pickit3d.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Pick-it_squared.png,Industrial,2016,Flanders
PixelVision,http://www.pixelvision.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/PixelVision_squared.png,Image & video processing,2015,Flanders
Piximate,http://www.piximate.net/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Piximate_squared.png,Image & video processing,2016,Wallonia
Plunch,http://www.plunch.net/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Plunch_squared.png,Sales & Marketing,2013,Wallonia
Predicube,http://www.predicube.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Predicube_squared.png,Sales & Marketing,2014,Flanders
PVH Data Consulting,http://topicalfacets.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/PVH-Data-Consulting_squared.png,"RPA, Internal Data & Intelligence",2016,Flanders
Qaelum,https://qaelum.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Qaelum_squared.png,Healthcare & biotech,2011,Flanders
Qualitics,http://www.qualitics.eu/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Qualitics_squared.png,"Security, Cyber-Security",,Wallonia
Superlinear,https://superlinear.eu/,https://community.ai4belgium.be/ai-landscape//landscape_logos/superlinear_squared.png,Services,,Brussels
Reimagine,http://www.reimagine.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Logo-Reimagine_squared.png,Services,2018,Wallonia
Retailsonar,http://retailsonar.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Retailsonar_squared.png,Retail & telecom,2011,Flanders
RetViews,http://retviews.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/RetViews_squared.png,Retail & telecom,2017,Brussels
RiskConcile,http://www.riskconcile.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/RiskConcile_squared.png,Legal & FinTech,2015,Flanders
Roborana,http://roborana.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Roborana_squared.png,"Security, Cyber-Security",2017,Flanders
Robovision,http://www.robovision.ai/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Robovision_squared.png,Image & video processing,2011,Flanders
Room40,http://roomfourzero.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/room40-small_squared.png,Services,2016,Flanders
Sagacify,http://www.sagacify.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/new_logo_squared.png,Services,2012,Brussels
Sailsense,http://www.sailsense.io/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Sailsense_squared.png,"Automotive, mobility & travel",2017,Brussels
Salesflare,https://salesflare.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Salesflare_squared.png,Sales & Marketing,2014,Flanders
Say It Labs,http://www.sayitlabs.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Say-It-Labs_squared.png,Speech & Text,2019,Flanders
SCM Revamp,http://www.scmrevamp.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/SCM-Revamp_squared.png,Industrial,2011,Wallonia
Scriptbook,http://scriptbook.io/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Scriptbook_squared.png,"Social (Education, Civic Tech, Entertainment, etc)",2014,Flanders
SEAFAR,http://www.seafar.eu/,https://community.ai4belgium.be/ai-landscape//landscape_logos/SEAFAR_squared.png,"Automotive, mobility & travel",2018,Flanders
SeeMe,http://seeme.ai/,https://community.ai4belgium.be/ai-landscape//landscape_logos/SeeMe_squared.png,Image & video processing,2012,Flanders
Senhive,http://senhive.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Senhive_squared.png,"Security, Cyber-Security",2019,Flanders
Sensifai,http://www.sensifai.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Sensifai_squared.png,Image & video processing,2016,Brussels
Shavatar,http://www.shavatar.me/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Shavatar_squared.png,Retail & telecom,2019,Flanders
Showpad,http://www.showpad.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Showpad_squared.png,Sales & Marketing,2011,Flanders
Skalup,http://www.skalup.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/logo-4_squared.png,Services,2015,Wallonia
Solventure Life,http://www.solventuregroup.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Solventure-Life_squared.png,"RPA, Internal Data & Intelligence",2017,Flanders
Sortlist,https://www.sortlist.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Sortlist_squared.png,Sales & Marketing,2013,Wallonia
SoundTalks,http://www.soundtalks.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/SoundTalks_squared.png,"Agritech, Cleantech & energy",2011,Flanders
