name,url,logo,categories,creation date,region,street,zip_code,city
Datacamp,http://www.datamind.org/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Datacamp_squared.png,"Social (Education, Civic Tech, Entertainment, etc)",2013.0,Flanders,Martelarenlaan 38,3010,Leuven
Datascouts,https://datascouts.eu/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Datascouts_squared.png,"RPA, Internal Data & Intelligence",2011.0,Flanders,Sint-Amandsstraat 86,1853,Grimbergen
Diabatix,http://diabatix.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Diabatix_squared.png,Industrial,2016.0,Flanders,Technologielaan,3001,Leuven
Digital Orthopaedics,http://www.digital-orthopaedics.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Digital-Orthopaedics_squared.png,Healthcare & biotech,2016.0,Wallonia,Grafenberger Allee 297,40237,Dusseldorf
DNAlytics,http://dnalytics.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/DNAlytics_squared.png,Healthcare & biotech,2012.0,Wallonia,Avenue Jean Monnet 1,1348,Ottignies-Louvain-la-Neuve
Doccle,http://doccle.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Doccle_squared.png,"RPA, Internal Data & Intelligence",2012.0,Brussels,Esplanade SN / 65,1020,Bruxelles
Dropon,http://dropon.io/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Dropon_squared.png,"Automotive, mobility & travel",2018.0,Flanders,Oktrooiplein 1/201,9000,Gent
Edebex,http://edebex.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Edebex_squared.png,Legal & FinTech,2013.0,Brussels,Rue Jules Cockx 8-10,1160,Auderghem
EisphorIA,http://www.eisphoria.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/EisphorIA_squared.png,Legal & FinTech,2019.0,Brussels,Chaussée de Huy 195,1325,Chaumont-Gistoux
Enervalis,http://www.enervalis.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Enervalis_squared.png,"Agritech, Cleantech & energy",2013.0,Flanders,Lummense Kiezel 51,3510,Hasselt
Engine27,http://www.engine27.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Engine27_squared.png,"Security, Cyber-Security",2016.0,Flanders,Uitbreidingstraat 84 / 3,2600,Antwerpen
EngineerX,http://www.engineerx.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/EngineerX_squared.png,HR & Skills,2011.0,Flanders,Belgicastraat 5 / 2,1930,Zaventem
Epcon,http://www.epcon.ai/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Epcon_squared.png,Healthcare & biotech,2018.0,Flanders,Schillerstraat 24,2050,Antwerpen
epic blue,http://www.epic.blue/,https://community.ai4belgium.be/ai-landscape//landscape_logos/epic-blue_squared.png,Industrial,2016.0,Flanders,Brusselsestraat 190,3000,Leuven
Epilog,http://www.epilog.care/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Epilog_squared.png,Healthcare & biotech,2016.0,Flanders,Warande 72,9270,Laarne
eRowz,http://www.site-annonce.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/eRowz_squared.png,Sales & Marketing,2011.0,Wallonia,Rue Jean Burgers 2,7850,Enghien
Ethernetics,http://ethernetics.tech/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Ethernetics_squared.png,"Agritech, Cleantech & energy",2018.0,Flanders,Steenweg 56,9570,Lierde
EyeSee,http://www.eyesee.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/EyeSee_squared.png,Image & video processing,2012.0,Flanders,Franklin Rooseveltlaan 349/B.71,9000,Gent
Factry,http://www.factry.io/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Factry_squared.png,Industrial,2016.0,Brussels,Korianderstraat 2 / G,9000,Gent
Features Analytics,http://www.features-analytics.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Features-Analytics_squared.png,Legal & FinTech,2014.0,Wallonia,Rue de Charleroi 2,1400,Nivelles
Fielddrive,http://www.fielddrive.eu/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Fielddrive_squared.png,Image & video processing,2015.0,Flanders,Mechelsesteenweg 303,2830,Willebroek
Flexible Robotic Solutions,http://www.frsrobotics.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Flexible-Robotic-Solutions_squared.png,Industrial,2013.0,Flanders,Kapeldreef 60,3001,Leuven
Foresightee,http://www.foresightee.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Foresightee_squared.png,"Agritech, Cleantech & energy",2019.0,Flanders,Esplanade Simone VEIL 1,4000,Liège
Freemind,http://www.freemind-group.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/logo-temp_squared.png,Services,2011.0,Brussels,Izabellapolder 3,8300,Knokke-Heist
Froomle,http://www.froomle.ai/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Froomle_squared.png,Sales & Marketing,2016.0,Flanders,Borsbeeksebrug 28/0,2600,Antwerpen
Hyler,http://www.hyler.be/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Hyler_squared.png,"Agritech, Cleantech & energy",2016.0,Flanders,Oude Gentstraat 28A,8760,Tielt
icoMetrix,http://www.icometrix.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/icoMetrix_squared.png,Healthcare & biotech,2011.0,Flanders,Kolonel Begaultlaan 1B / 12,3012,Leuven
Infinity Mobile,http://infinity-mobile.io/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Infinity-Mobile_squared.png,Legal & FinTech,2015.0,Flanders,Hoogstraat 29,9850,Deinze
InvestSuite,http://www.investsuite.eu/,https://community.ai4belgium.be/ai-landscape//landscape_logos/InvestSuite_squared.png,Legal & FinTech,2018.0,Flanders,Sluisstraat 79 / 301,3000,Leuven
Iqunet,http://iqunet.com/,https://community.ai4belgium.be/ai-landscape//landscape_logos/Iqunet_squared.png,Industrial,2015.0,Flanders,Broekstraat 82,9220,Hamme (Vl.)
